iter	Passed	Remaining
955	254872	11730
956	255039	11459
957	255280	11191
958	255702	10932
959	255872	10661
960	256022	10390
961	256133	10117
962	256293	9847
963	256524	9579
964	256765	9312
965	257010	9045
966	257129	8774
967	257491	8512
968	257759	8246
969	257935	7977
970	258069	7707
971	258205	7438
972	258344	7168
973	258459	6899
974	258605	6630
975	258762	6363
976	258890	6094
977	259029	5826
978	259171	5559
979	259330	5292
980	259463	5025
981	259620	4758
982	259780	4492
983	259890	4225
984	260036	3959
985	260172	3694
986	260312	3428
987	260647	3165
988	261110	2904
989	261306	2639
990	261520	2375
991	261866	2111
992	262278	1848
993	262513	1584
994	262782	1320
995	262965	1056
996	263220	792
997	263414	527
998	263778	264
999	263956	0
